"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","HR Operations"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Crime and Policing Group Director General's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Crime and ASB Reduction Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","UK Football Policy Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Commercial"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Commercial - Policing"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Office of the Chief Information Officer - Information"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Central Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Equality and Human Rights Commission (EHRC) Reform"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Communication Directorate"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Organised and Financial Crime"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Reducing Reoffending Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Police Reform"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Hillsborough Disclosure Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Director General's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Value for Money and Productivity"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","IPS Commercial; Home Office Category Management, Commercial Policy, Assurance & SRM"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Office of the Chief Information Officer - Enterprise Architecture"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Home Office General Property"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Director General and Support"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Centre for Applied Science & Technology"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Counter Terrorism Social Science"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Strategy Analysis and Performance"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Departmental Security"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Health Safety & Wellbeing"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Digital, Events and Staff Communications"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","National Crime Agency Programme"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","National Crime Agency Director's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Resources and Planning"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Major Projects Commercial"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Information Management Service"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Home Office IT"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Gender Equality and LGB&T"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Animals in Science Regulation Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Policy, Reward and Employee Relations"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","MI Team"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Business Support Team"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Border Security Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Migration Policy"
